Total tasks exported: 267
ategory,scene_name,object_name,task_name,video_url,src,poster
Eval Rollout,Untie shoelaces or gifts,Gift / Untie,Office,Gift,Untie,https://dreamzero0.github.io/evals_gallery/videos/ASYNCUNSEEN_003_small.mp4,videos/ASYNCUNSEEN_003_small.mp4,videos/ASYNCUNSEEN_003_small.jpg
Eval Rollout,Remove hat from mannequin,Clothes / Remove,Office,Clothes,Remove,https://dreamzero0.github.io/evals_gallery/videos/ASYNCUNSEEN_012_small.mp4,videos/ASYNCUNSEEN_012_small.mp4,videos/ASYNCUNSEEN_012_small.jpg
Eval Rollout,Take out the straw,Straw / Take,Office,Straw,Take,https://dreamzero0.github.io/evals_gallery/videos/ASYNCUNSEEN_027_small.mp4,videos/ASYNCUNSEEN_027_small.mp4,videos/ASYNCUNSEEN_027_small.jpg
Eval Rollout,Stack the cube,Cube / Stack,Office,Cube,Stack,https://dreamzero0.github.io/evals_gallery/videos/SYNCUNSEEN_033_small.mp4,videos/SYNCUNSEEN_033_small.mp4,videos/SYNCUNSEEN_033_small.jpg
Eval Rollout,Place mango in bowl,Food / Pick,Office,Food,Pick,https://dreamzero0.github.io/evals_gallery/videos/EMERGENTSYNC_011_small.mp4,videos/EMERGENTSYNC_011_small.mp4,videos/EMERGENTSYNC_011_small.jpg
Eval Rollout,Take the backpack,Bag / Take,Office,Bag,Take,https://dreamzero0.github.io/evals_gallery/videos/EMERGENTSYNC_014_small.mp4,videos/EMERGENTSYNC_014_small.mp4,videos/EMERGENTSYNC_014_small.jpg
Eval Rollout,Grab the star fruit and place in bowl,Food / Place,Office,Food,Place,https://dreamzero0.github.io/evals_gallery/videos/EMERGENTSYNC_015_small.mp4,videos/EMERGENTSYNC_015_small.mp4,videos/EMERGENTSYNC_015_small.jpg
Eval Rollout,Unplug the cable,Cable / Other,Office,Cable,Other,https://dreamzero0.github.io/evals_gallery/videos/DATAVIZ_001_small.mp4,videos/DATAVIZ_001_small.mp4,videos/DATAVIZ_001_small.jpg
Eval Rollout,Open the drawer,Other / Open,Office,Other,Open,https://dreamzero0.github.io/evals_gallery/videos/DATAVIZ_002_small.mp4,videos/DATAVIZ_002_small.mp4,videos/DATAVIZ_002_small.jpg
Eval Rollout,Slide the box,Other / Other,Office,Other,Other,https://dreamzero0.github.io/evals_gallery/videos/DATAVIZ_003_small.mp4,videos/DATAVIZ_003_small.mp4,videos/DATAVIZ_003_small.jpg
Eval Rollout,Move mouse to the right,Other / Other,Office,Other,Other,https://dreamzero0.github.io/evals_gallery/videos/DATAVIZ_004_small.mp4,videos/DATAVIZ_004_small.mp4,videos/DATAVIZ_004_small.jpg
Eval Rollout,Flip light switch off,Switch / Other,Office,Switch,Other,https://dreamzero0.github.io/evals_gallery/videos/DATAVIZ_007_small.mp4,videos/DATAVIZ_007_small.mp4,videos/DATAVIZ_007_small.jpg
Eval Rollout,Dump bowl into sink,Kitchenware / Other,Kitchen,Kitchenware,Other,https://dreamzero0.github.io/evals_gallery/videos/DATAVIZ_009_small.mp4,videos/DATAVIZ_009_small.mp4,videos/DATAVIZ_009_small.jpg
Eval Rollout,Pick up plate and place plate onto towel,Kitchenware / Place,Kitchen,Kitchenware,Place,https://dreamzero0.github.io/evals_gallery/videos/DATAVIZ_010_small.mp4,videos/DATAVIZ_010_small.mp4,videos/DATAVIZ_010_small.jpg
Eval Rollout,Pass folder to left arm,Other / Pick,Office,Other,Pick,https://dreamzero0.github.io/evals_gallery/videos/DATAVIZ_011_small.mp4,videos/DATAVIZ_011_small.mp4,videos/DATAVIZ_011_small.jpg
Eval Rollout,Pass spatula to left arm,Kitchenware / Pick,Kitchen,Kitchenware,Pick,https://dreamzero0.github.io/evals_gallery/videos/DATAVIZ_012_small.mp4,videos/DATAVIZ_012_small.mp4,videos/DATAVIZ_012_small.jpg
Eval Rollout,Throw trash into trash can,Trash / Pick,Kitchen,Trash,Pick,https://dreamzero0.github.io/evals_gallery/videos/DATAVIZ_013_small.mp4,videos/DATAVIZ_013_small.mp4,videos/DATAVIZ_013_small.jpg
Eval Rollout,Grab eraser and wipe whiteboard,Eraser / Wipe,Office,Eraser,Wipe,https://dreamzero0.github.io/evals_gallery/videos/DATAVIZ_015_small.mp4,videos/DATAVIZ_015_small.mp4,videos/DATAVIZ_015_small.jpg
Eval Rollout,Pull the shirt,Clothes / Pull,Office,Clothes,Pull,https://dreamzero0.github.io/evals_gallery/videos/DATAVIZ_017_small.mp4,videos/DATAVIZ_017_small.mp4,videos/DATAVIZ_017_small.jpg
Eval Rollout,Wipe the ketchup stain three times with a napkin,Other / Wipe,Kitchen,Other,Wipe,https://dreamzero0.github.io/evals_gallery/videos/DATAVIZ_018_small.mp4,videos/DATAVIZ_018_small.mp4,videos/DATAVIZ_018_small.jpg
Eval Rollout,Reach inside box to grab pear without touching the box,Food / Pick,Office,Food,Pick,https://dreamzero0.github.io/evals_gallery/videos/DATAVIZ_021_small.mp4,videos/DATAVIZ_021_small.mp4,videos/DATAVIZ_021_small.jpg
Eval Rollout,Squeeze the ketchup bottle twice,Other / Other,Kitchen,Other,Other,https://dreamzero0.github.io/evals_gallery/videos/DATAVIZ_022_small.mp4,videos/DATAVIZ_022_small.mp4,videos/DATAVIZ_022_small.jpg
Eval Rollout,Pull white book out,Other / Pull,Office,Other,Pull,https://dreamzero0.github.io/evals_gallery/videos/DATAVIZ_024_small.mp4,videos/DATAVIZ_024_small.mp4,videos/DATAVIZ_024_small.jpg
Eval Rollout,Pull the cart,Cart / Pull,Office,Cart,Pull,https://dreamzero0.github.io/evals_gallery/videos/DATAVIZ_027_small.mp4,videos/DATAVIZ_027_small.mp4,videos/DATAVIZ_027_small.jpg
Eval Rollout,Press the emergency button,Other / Push,Office,Other,Push,https://dreamzero0.github.io/evals_gallery/videos/DATAVIZ_031_small.mp4,videos/DATAVIZ_031_small.mp4,videos/DATAVIZ_031_small.jpg
Eval Rollout,Pick up cube with left arm and place the pear on the correct answer with right arm,Food / Place,Office,Food,Place,https://dreamzero0.github.io/evals_gallery/videos/DATAVIZ_032_small.mp4,videos/DATAVIZ_032_small.mp4,videos/DATAVIZ_032_small.jpg
Eval Rollout,Clean the glass with brush,Kitchenware / Other,Kitchen,Kitchenware,Other,https://dreamzero0.github.io/evals_gallery/videos/DATAVIZ_034_small.mp4,videos/DATAVIZ_034_small.mp4,videos/DATAVIZ_034_small.jpg
Eval Rollout,Whisk the bowl,Kitchenware / Other,Kitchen,Kitchenware,Other,https://dreamzero0.github.io/evals_gallery/videos/DATAVIZ_035_small.mp4,videos/DATAVIZ_035_small.mp4,videos/DATAVIZ_035_small.jpg
Eval Rollout,Play the xylophone using mallet,Other / Other,Office,Other,Other,https://dreamzero0.github.io/evals_gallery/videos/DATAVIZ_039_small.mp4,videos/DATAVIZ_039_small.mp4,videos/DATAVIZ_039_small.jpg
Eval Rollout,Pick a card from the deck,Other / Pick,Office,Other,Pick,https://dreamzero0.github.io/evals_gallery/videos/DATAVIZ_041_small.mp4,videos/DATAVIZ_041_small.mp4,videos/DATAVIZ_041_small.jpg
Eval Rollout,Fist bump the human,Other / Other,Office,Other,Other,https://dreamzero0.github.io/evals_gallery/videos/DATAVIZ_043_small.mp4,videos/DATAVIZ_043_small.mp4,videos/DATAVIZ_043_small.jpg
Eval Rollout,Shake the hand of the human,Other / Shake,Office,Other,Unknown,https://dreamzero0.github.io/evals_gallery/videos/DATAVIZ_045_small.mp4,videos/DATAVIZ_045_small.mp4,videos/DATAVIZ_045_small.jpg
Eval Rollout,Pull the grey towel,Towel / Pull,Office,Towel,Pull,https://dreamzero0.github.io/evals_gallery/videos/DATAVIZ_046_small.mp4,videos/DATAVIZ_046_small.mp4,videos/DATAVIZ_046_small.jpg
Eval Rollout,Grab the sauce bottle and pour it into the cup,Kitchenware / Pour,Office,Kitchenware,Pour,https://dreamzero0.github.io/evals_gallery/videos/DATAVIZ_047_small.mp4,videos/DATAVIZ_047_small.mp4,videos/DATAVIZ_047_small.jpg
Eval Rollout,Move cube in the direction of the arrow,Cube / Other,Office,Cube,Other,https://dreamzero0.github.io/evals_gallery/videos/DATAVIZ_048_small.mp4,videos/DATAVIZ_048_small.mp4,videos/DATAVIZ_048_small.jpg
Eval Rollout,Shake the tambourine,Other / Shake,Office,Other,Unknown,https://dreamzero0.github.io/evals_gallery/videos/DATAVIZ_049_small.mp4,videos/DATAVIZ_049_small.mp4,videos/DATAVIZ_049_small.jpg
Eval Rollout,Pick up the watermelon,Food / Pick,Office,Food,Pick,https://dreamzero0.github.io/evals_gallery/videos/DATAVIZ_050_small.mp4,videos/DATAVIZ_050_small.mp4,videos/DATAVIZ_050_small.jpg
Eval Rollout,Pick up the can and pour it into the cup,Kitchenware / Pour,Kitchen,Kitchenware,Pour,https://dreamzero0.github.io/evals_gallery/videos/DATAVIZ_051_small.mp4,videos/DATAVIZ_051_small.mp4,videos/DATAVIZ_051_small.jpg
Eval Rollout,Place the blue sock into the bag,Clothes / Place,Office,Clothes,Place,https://dreamzero0.github.io/evals_gallery/videos/DATAVIZ_052_small.mp4,videos/DATAVIZ_052_small.mp4,videos/DATAVIZ_052_small.jpg
Eval Rollout,Grab the mango from the basket and place it on the tray,Food / Place,Office,Food,Place,https://dreamzero0.github.io/evals_gallery/videos/DATAVIZ_053_small.mp4,videos/DATAVIZ_053_small.mp4,videos/DATAVIZ_053_small.jpg
Eval Rollout,Move forward and open door,Door / Open,Office,Door,Open,https://dreamzero0.github.io/evals_gallery/videos/DATAVIZ_FREEFORM_MOBILE_001_small.mp4,videos/DATAVIZ_FREEFORM_MOBILE_001_small.mp4,videos/DATAVIZ_FREEFORM_MOBILE_001_small.jpg
Eval Rollout,Place bag in basket,Bag / Place,Office,Bag,Place,https://dreamzero0.github.io/evals_gallery/videos/DATAVIZ_FREEFORM_MOBILE_003_small.mp4,videos/DATAVIZ_FREEFORM_MOBILE_003_small.mp4,videos/DATAVIZ_FREEFORM_MOBILE_003_small.jpg
Eval Rollout,Push rolling chair back under desk,Chair / Push,Office,Chair,Push,https://dreamzero0.github.io/evals_gallery/videos/DATAVIZ_FREEFORM_MOBILE_004_small.mp4,videos/DATAVIZ_FREEFORM_MOBILE_004_small.mp4,videos/DATAVIZ_FREEFORM_MOBILE_004_small.jpg
Eval Rollout,Pick up basket and place on table,Other / Place,Office,Other,Place,https://dreamzero0.github.io/evals_gallery/videos/DATAVIZ_FREEFORM_MOBILE_005_small.mp4,videos/DATAVIZ_FREEFORM_MOBILE_005_small.mp4,videos/DATAVIZ_FREEFORM_MOBILE_005_small.jpg
Eval Rollout,Pick up glasses and bring them to Lost and Found box,Other / Pick,Office,Other,Pick,https://dreamzero0.github.io/evals_gallery/videos/DATAVIZ_FREEFORM_MOBILE_006_small.mp4,videos/DATAVIZ_FREEFORM_MOBILE_006_small.mp4,videos/DATAVIZ_FREEFORM_MOBILE_006_small.jpg
Eval Rollout,Pick up the bottle and pour it into the glass,Kitchenware / Pour,Kitchen,Kitchenware,Pour,https://dreamzero0.github.io/evals_gallery/videos/DATAVIZ_FREEFORM_MOBILE_008_small.mp4,videos/DATAVIZ_FREEFORM_MOBILE_008_small.mp4,videos/DATAVIZ_FREEFORM_MOBILE_008_small.jpg
Eval Rollout,Pick up trash and put in dustbin,Trash / Pick,Office,Trash,Pick,https://dreamzero0.github.io/evals_gallery/videos/DATAVIZ_FREEFORM_MOBILE_009_small.mp4,videos/DATAVIZ_FREEFORM_MOBILE_009_small.mp4,videos/DATAVIZ_FREEFORM_MOBILE_009_small.jpg
Eval Rollout,Pick up kettle and pour water into cup,Kitchenware / Pour,Kitchen,Kitchenware,Pour,https://dreamzero0.github.io/evals_gallery/videos/DATAVIZ_LOBBY_001_small.mp4,videos/DATAVIZ_LOBBY_001_small.mp4,videos/DATAVIZ_LOBBY_001_small.jpg
Eval Rollout,Pick up cup and pour water on christmas tree,Kitchenware / Pour,Lobby,Kitchenware,Pour,https://dreamzero0.github.io/evals_gallery/videos/DATAVIZ_LOBBY_002_small.mp4,videos/DATAVIZ_LOBBY_002_small.mp4,videos/DATAVIZ_LOBBY_002_small.jpg
